Keyword;Position;Previous Position;Search Volume;Keyword Difficulty Index;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends;Timestamp
"black tips blonde hair";"92";"0";"90";"89.14";"0.00";"http://hairstylefoto.com/blonde-hair-black-tips/";"0.00";"0.00";"0.00";"3850000";"0.44,0.44,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.44";"1481955464"
"old fashion hair style";"52";"0";"30";"87.09";"0.00";"http://hairstylefoto.com/old-fashion-hairstyles-for-long-hair/";"0.00";"0.00";"0.07";"5870000";"0.14,0.43,0.43,0.29,0.29,0.43,1.00,0.43,0.29,0.29,0.57,0.29";"1483140278"
"long hair layered with side bangs";"81";"0";"30";"82.42";"0.00";"http://hairstylefoto.com/hairstyles-for-long-hair-with-layers-and-side-bangs/";"0.00";"0.00";"0.00";"1480000";"0.22,0.11,0.11,0.11,0.11,0.22,0.33,0.11,0.44,1.00,0.56,0.11";"1483141178"
"bob haircuts from the back and front";"26";"0";"10";"81.19";"0.00";"http://hairstylefoto.com/pictures-of-short-bob-haircuts-front-and-back/";"0.00";"0.00";"0.05";"9330000";"1.00,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50";"1482535315"
"lazy hairstyles for long hair";"38";"26";"140";"92.96";"0.00";"http://hairstylefoto.com/lazy-hairstyles-for-long-hair/";"0.00";"0.00";"0.01";"12600000";"0.28,0.34,0.34,0.16,0.12,0.34,0.44,0.81,1.00,0.53,0.81,0.34";"1482834992"
"cute kinky curly hairstyles";"57";"36";"30";"77.90";"0.05";"http://hairstylefoto.com/short-kinky-curly-hairstyles/";"0.00";"0.00";"0.54";"3190000";"0.50,0.50,0.75,0.50,1.00,0.75,0.75,1.00,0.50,0.75,0.50,0.75";"1484829324"
"natural hairstyles for black ladies";"72";"0";"10";"82.47";"0.00";"http://hairstylefoto.com/natural-hairstyles-for-black-ladies/";"0.00";"0.00";"0.25";"2500000";"0.33,0.33,0.33,0.33,0.33,0.67,0.67,0.33,0.33,0.33,0.67,1.00";"1482497381"
"pink black and blonde hair";"24";"24";"50";"84.84";"0.00";"http://hairstylefoto.com/pink-black-and-blonde-hair/";"0.00";"0.00";"0.01";"29700000";"0.78,1.00,0.78,0.56,0.56,0.56,0.44,0.78,0.44,0.44,0.56,0.44";"1483023514"
"easy old fashioned hairstyles";"55";"0";"20";"81.89";"0.00";"http://hairstylefoto.com/old-fashioned-hairstyles-for-long-hair/";"0.00";"0.00";"0.00";"1180000";"0.67,0.67,0.67,0.67,0.33,0.67,0.33,1.00,0.33,0.33,0.33,0.67";"1484522686"
"cute messy hairstyles for medium hair";"58";"0";"40";"85.18";"4.56";"http://hairstylefoto.com/cute-messy-hairstyles-for-long-hair/";"0.00";"0.00";"0.25";"3470000";"0.56,1.00,0.44,0.11,0.44,0.33,0.78,0.78,0.22,0.44,0.44,0.44";"1482393607"
"pictures of little girls haircuts";"63";"0";"70";"69.86";"0.13";"http://hairstylefoto.com/short-little-girl-haircuts/";"0.00";"0.00";"0.12";"3730000";"0.45,0.27,0.45,0.45,0.82,1.00,0.45,0.45,0.45,0.45,1.00,0.64";"1482915045"
"cute easy hairstyles for curly medium hair";"76";"0";"10";"84.74";"0.00";"http://hairstylefoto.com/cute-easy-hairstyles-for-long-curly-hair/";"0.00";"0.00";"0.00";"2360000";"1.00,0.50,1.00,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50";"1482429351"
"most attractive black men";"41";"62";"110";"83.74";"0.00";"http://hairstylefoto.com/most-attractive-black-men/";"0.00";"0.00";"0.14";"0";"0.79,0.79,0.79,1.00,0.79,0.79,0.79,0.64,0.79,0.79,1.00,0.64";"1482862605"
"short pixie haircuts tumblr";"68";"53";"20";"52.69";"0.00";"http://hairstylefoto.com/short-pixie-cut/";"0.00";"0.00";"0.00";"2860000";"0.33,0.67,1.00,1.00,0.67,1.00,0.33,0.33,0.33,0.33,0.33,0.33";"1485008390"
"black short cuts hairstyles 2015";"68";"0";"40";"78.90";"0.00";"http://hairstylefoto.com/black-women-short-hairstyles-2015/";"0.00";"0.00";"0.09";"8700000";"0.00,0.00,0.00,0.00,0.00,0.64,0.64,1.00,1.00,0.64,0.36,0.09";"1483055391"
"black wedding hair styles";"71";"0";"70";"85.85";"0.00";"http://hairstylefoto.com/black-hair-wedding-hairstyles/";"0.00";"0.00";"0.08";"8280000";"0.82,0.82,0.82,0.64,1.00,0.82,0.64,0.27,0.18,0.27,0.64,0.64";"1482939723"
"haircuts feathered layers";"37";"0";"50";"86.03";"0.00";"http://hairstylefoto.com/layered-feathered-hairstyles-for-long-hair/";"0.00";"0.00";"0.00";"533000";"0.78,0.44,0.44,1.00,0.44,0.11,0.22,0.56,0.22,1.00,0.11,0.44";"1482353600"
"haircuts feathered layers";"38";"0";"50";"86.03";"0.00";"http://hairstylefoto.com/long-layered-feathered-hairstyles/";"0.00";"0.00";"0.00";"533000";"0.78,0.44,0.44,1.00,0.44,0.11,0.22,0.56,0.22,1.00,0.11,0.44";"1482353600"
"haircut for long fine hair";"46";"41";"40";"85.96";"0.00";"http://hairstylefoto.com/hairstyles-for-long-straight-fine-hair/";"0.00";"0.00";"0.04";"3270000";"0.43,0.71,0.71,0.43,0.43,0.57,0.43,1.00,0.57,0.43,0.71,1.00";"1483065583"
"mens hair round face";"75";"0";"30";"67.44";"0.00";"http://hairstylefoto.com/long-hairstyle-for-round-face-men/";"0.00";"0.00";"0.00";"9610000";"0.80,0.80,1.00,0.40,0.80,0.60,0.60,0.80,0.60,0.60,0.60,0.60";"1483094016"
"long hair with veils wedding hairstyles";"88";"0";"10";"80.52";"0.00";"http://hairstylefoto.com/long-hair-with-veils-wedding-hairstyles/";"0.00";"0.00";"0.01";"1850000";"0.33,0.67,0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.33,0.67,0.33";"1482625450"
"short hair on fat faces";"90";"0";"50";"82.88";"0.00";"http://hairstylefoto.com/short-hair-for-fine-hair-round-face/";"0.00";"0.00";"0.00";"933000";"0.82,1.00,0.29,0.18,0.18,0.12,0.12,0.06,0.12,0.18,0.29,0.12";"1483007352"
"back view of inverted bob haircuts";"22";"16";"20";"73.78";"0.00";"http://hairstylefoto.com/short-inverted-bob-hairstyles-back-view/";"0.00";"0.00";"0.03";"0";"1.00,0.50,0.25,0.25,0.25,0.50,0.25,0.25,1.00,0.75,0.75,0.50";"1484398120"
"hairstyles for dreads for men";"92";"0";"110";"75.48";"0.16";"http://hairstylefoto.com/short-dreads-hairstyles-for-men/";"0.00";"0.00";"0.12";"2960000";"0.65,0.82,0.82,0.65,1.00,0.82,0.53,0.53,0.41,0.53,0.29,0.65";"1482877662"
"homecoming hairstyles short hair";"61";"0";"70";"83.80";"0.00";"http://hairstylefoto.com/homecoming-hairstyles-for-long-straight-hair/";"0.00";"0.00";"0.00";"19700000";"0.03,0.03,0.05,0.03,0.03,0.13,1.00,1.00,0.08,0.03,0.08,0.03";"1482942979"
"pretty black girl photos";"82";"0";"10";"85.84";"0.00";"http://hairstylefoto.com/pretty-black-girls-with-curly-hair/";"0.00";"0.00";"0.02";"45100000";"0.50,1.00,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50";"1484709645"
"cute hair cuts for boys";"45";"37";"170";"80.94";"0.00";"http://hairstylefoto.com/cute-haircuts-for-boys/";"0.00";"0.00";"0.01";"11600000";"0.81,0.67,0.81,0.81,0.81,1.00,0.67,0.67,0.81,0.81,0.81,0.81";"1482809152"
"hair style weave";"76";"0";"20";"85.01";"0.14";"http://hairstylefoto.com/long-27-piece-quick-weave-hairstyles/";"0.00";"0.00";"0.80";"1260000";"0.33,0.33,0.33,0.67,0.33,0.33,0.33,1.00,1.00,0.67,0.67,0.67";"1484963064"
"hairstyles for women 50";"67";"0";"140";"83.25";"0.23";"http://hairstylefoto.com/longer-hairstyles-for-women-over-50/";"0.00";"0.00";"0.26";"3320000";"0.82,0.65,0.82,0.65,0.82,0.82,0.82,0.65,0.82,0.82,1.00,1.00";"1482870510"
"boys haircuts for girls";"39";"36";"20";"80.35";"0.00";"http://hairstylefoto.com/short-haircuts-girls/";"0.00";"0.00";"0.03";"1090000";"0.67,0.67,1.00,1.00,1.00,1.00,0.67,0.33,0.67,1.00,1.00,1.00";"1484429357"
"asian short hairstyles for round faces";"28";"55";"20";"76.92";"0.00";"http://hairstylefoto.com/short-asian-hairstyles-for-round-faces/";"0.00";"0.00";"0.04";"6070000";"1.00,0.67,1.00,0.33,0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.67";"1484463894"
"fishtail braid black hairstyles";"24";"30";"140";"78.61";"0.00";"http://hairstylefoto.com/black-fishtail-braid-hairstyles/";"0.00";"0.00";"0.03";"8700000";"0.35,0.35,0.35,0.54,0.54,0.65,1.00,1.00,0.42,0.35,0.35,0.27";"1482834754"
"fishtail braid black hairstyles";"25";"31";"140";"78.61";"0.00";"http://hairstylefoto.com/black-hair-fishtail-braid-hairstyles/";"0.00";"0.00";"0.03";"8700000";"0.35,0.35,0.35,0.54,0.54,0.65,1.00,1.00,0.42,0.35,0.35,0.27";"1482834754"
"black hair asymmetrical bob";"55";"59";"70";"74.55";"0.16";"http://hairstylefoto.com/short-asymmetrical-bob-hairstyles/";"0.00";"0.00";"0.04";"3000000";"0.78,0.78,0.56,0.56,0.56,0.78,0.56,0.78,0.78,0.56,1.00,0.78";"1482928225"
"best black weave hairstyles";"27";"0";"10";"80.24";"0.00";"http://hairstylefoto.com/best-black-weave-hairstyles/";"0.00";"0.00";"0.12";"27300000";"1.00,1.00,0.50,0.50,0.50,1.00,1.00,0.50,0.50,0.50,1.00,0.50";"1482738824"
"cute asian haircuts";"44";"41";"70";"84.29";"0.00";"http://hairstylefoto.com/cute-asian-hairstyles-for-long-hair/";"0.00";"0.00";"0.00";"11600000";"0.45,0.45,0.45,0.64,1.00,0.64,0.45,0.45,0.64,1.00,0.82,0.64";"1482936394"
"medium length hairstyles guys";"31";"0";"40";"79.20";"0.00";"http://hairstylefoto.com/medium-long-hairstyles-guys/";"0.00";"0.00";"0.01";"2810000";"0.71,0.43,0.71,0.57,0.29,0.29,1.00,1.00,0.29,0.29,0.57,1.00";"1483080337"
"hair coloring styles for long hair";"69";"0";"10";"80.37";"2.70";"http://hairstylefoto.com/hair-coloring-for-long-hair/";"0.00";"0.00";"0.47";"4990000";"0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00";"1484575601"
"bangs hairstyles for long hair";"59";"0";"30";"82.17";"0.00";"http://hairstylefoto.com/bangs-hairstyle-for-long-hair/";"0.00";"0.00";"0.02";"8950000";"0.09,0.09,0.09,0.09,0.36,0.27,0.18,0.09,0.45,0.45,1.00,0.45";"1484827940"
"cute 16 year old guys";"98";"0";"170";"89.63";"0.00";"http://hairstylefoto.com/cute-15-year-old-boy/";"0.00";"0.00";"0.00";"12800000";"0.54,0.44,0.54,0.67,1.00,0.82,0.44,0.44,0.13,0.18,0.23,0.18";"1482816616"
"japanese short curly hairstyles";"41";"0";"10";"76.13";"0.00";"http://hairstylefoto.com/japanese-boy-hairstyles/";"0.00";"0.00";"0.06";"1810000";"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00";"1484668365"
"black girl with red weave";"40";"0";"50";"89.38";"0.00";"http://hairstylefoto.com/black-girl-weave/";"0.00";"0.00";"0.01";"15200000";"0.44,0.33,0.33,1.00,0.33,0.22,0.11,0.22,0.56,0.33,0.33,0.78";"1482381240"
"black hair short bob";"52";"55";"90";"81.88";"0.00";"http://hairstylefoto.com/black-hair-short-bob-hairstyles/";"0.00";"0.00";"0.04";"23800000";"0.29,0.24,0.24,0.24,0.29,0.65,0.65,1.00,0.65,0.29,0.53,0.82";"1482899948"
"short hair weave";"88";"0";"480";"80.00";"0.33";"http://hairstylefoto.com/weave-styles-for-short-hair/";"0.00";"0.00";"1.00";"1260000";"0.66,0.81,0.66,0.66,0.66,0.66,0.54,0.81,0.66,0.81,0.81,1.00";"1484374722"
"dreadlocks short hairstyles";"44";"53";"40";"77.31";"0.00";"http://hairstylefoto.com/short-dreadlocks-hairstyles-for-men/";"0.00";"0.00";"0.05";"1890000";"1.00,0.57,0.57,0.43,0.57,0.57,0.43,0.57,0.43,0.43,0.57,0.14";"1483053716"
"thick hair with bangs";"71";"54";"70";"81.84";"0.00";"http://hairstylefoto.com/short-hairstyles-with-bangs-for-thick-hair/";"0.00";"0.00";"0.15";"32300000";"0.64,0.45,0.45,0.45,0.64,0.64,0.64,1.00,0.82,0.82,0.82,1.00";"1482922417"
"60 year old hairstyles";"25";"36";"70";"82.69";"0.06";"http://hairstylefoto.com/short-hairstyles-for-women-over-60-years-old/";"0.00";"0.00";"0.17";"5410000";"0.82,0.36,0.82,0.82,0.64,0.82,0.82,0.45,0.36,0.64,1.00,0.82";"1482938763"
"cute short hair cuts";"92";"0";"1900";"79.94";"0.99";"http://hairstylefoto.com/short-haircuts-cute/";"0.00";"0.00";"0.06";"2320000";"0.79,0.79,0.79,1.00,1.00,1.00,0.67,0.79,0.67,0.67,0.67,0.67";"1485149456"
"hairstyles updos 2014";"77";"0";"10";"83.49";"0.00";"http://hairstylefoto.com/black-hair-updos-2014/";"0.00";"0.00";"0.00";"16400000";"1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00";"1484582013"
"posh hairstyles men";"25";"0";"50";"73.24";"0.00";"http://hairstylefoto.com/posh-hairstyles-for-long-hair/";"0.00";"0.00";"0.14";"7500000";"0.44,0.78,0.33,1.00,0.33,0.22,0.56,0.11,0.11,0.33,0.33,0.33";"1482227650"
"sexy short bobs";"31";"36";"40";"87.13";"0.00";"http://hairstylefoto.com/sexy-short-bob-hairstyles/";"0.00";"0.00";"0.13";"11700000";"1.00,0.80,0.80,0.60,0.80,1.00,0.60,0.80,0.60,0.60,1.00,0.80";"1483062742"
"simple hairstyles pinterest";"76";"0";"10";"99.68";"0.00";"http://hairstylefoto.com/short-bob-hairstyles-pinterest/";"0.00";"0.00";"0.00";"2590000";"0.50,1.00,0.50,1.00,0.50,0.50,0.50,1.00,1.00,1.00,0.50,0.50";"1485123237"
"finger wave hair style";"50";"0";"50";"82.47";"0.21";"http://hairstylefoto.com/finger-waves-on-long-hair/";"0.00";"0.00";"0.09";"1450000";"0.78,0.56,0.56,0.11,0.56,0.11,1.00,0.78,0.33,0.56,0.56,0.22";"1482179687"
"pictures of little black girls hair styles";"33";"33";"20";"81.95";"0.12";"http://hairstylefoto.com/little-black-girl-hair-styles-pictures/";"0.00";"0.00";"0.01";"30000000";"0.50,0.75,1.00,0.75,1.00,1.00,0.25,0.25,0.50,0.50,0.25,0.25";"1484462132"
"trendy short hairstyle";"53";"0";"10";"85.94";"0.82";"http://hairstylefoto.com/trendy-short-hairstyles-for-over-50/";"0.00";"0.00";"0.33";"4500000";"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00";"1482590952"
"spicky hair styles";"59";"0";"90";"75.34";"0.00";"http://hairstylefoto.com/spiky-long-hairstyles/";"0.00";"0.00";"0.00";"570000";"0.44,0.78,0.11,0.56,0.11,1.00,0.33,1.00,0.33,0.56,0.56,0.78";"1485294988"
"curly hair ombre";"81";"89";"1000";"79.67";"0.00";"http://hairstylefoto.com/short-curly-hair-ombre/";"0.00";"0.00";"0.05";"739000";"0.77,0.77,0.77,0.77,1.00,1.00,0.68,0.68,0.68,0.68,0.68,0.77";"1484351512"
"short hairstyles shoulder length";"42";"0";"90";"83.81";"0.00";"http://hairstylefoto.com/short-haircuts-shoulder-length/";"0.00";"0.00";"0.03";"1710000";"0.43,0.52,0.33,0.52,0.43,0.43,0.14,0.33,0.24,0.24,0.67,1.00";"1482893297"
"inverted bon";"68";"0";"30";"78.98";"0.00";"http://hairstylefoto.com/short-inverted-bob/";"0.00";"0.00";"0.00";"2770000";"0.60,0.60,0.60,0.80,1.00,0.80,1.00,0.60,0.40,0.40,0.40,0.60";"1484833268"
"faux hawk black";"32";"0";"40";"83.92";"0.00";"http://hairstylefoto.com/black-faux-hawk-hairstyles/";"0.00";"0.00";"0.01";"11500000";"0.57,0.43,0.57,0.43,0.71,0.71,0.57,0.43,0.29,0.43,0.43,1.00";"1483056318"
"pin curls short hair";"61";"63";"880";"86.05";"0.00";"http://hairstylefoto.com/bobby-pin-curls-short-hair/";"0.00";"0.00";"0.06";"3060000";"1.00,1.00,0.46,0.17,0.21,0.68,0.21,0.21,0.25,0.46,0.46,0.21";"1484349491"
"cute easy summer hairstyles for long hair";"60";"0";"50";"94.70";"0.00";"http://hairstylefoto.com/easy-summer-hairstyles-for-long-hair/";"0.00";"0.00";"0.00";"4630000";"0.78,0.11,0.11,0.11,0.33,0.22,0.56,0.22,0.56,1.00,1.00,0.11";"1482368357"
"short funky hair for women";"30";"0";"40";"84.69";"0.00";"http://hairstylefoto.com/short-funky-hairstyles-for-fine-hair/";"0.00";"0.00";"0.10";"22300000";"0.71,0.71,1.00,0.29,1.00,0.29,0.57,0.57,0.14,1.00,1.00,0.14";"1482424502"
"weave styles for black women";"71";"0";"30";"76.61";"0.30";"http://hairstylefoto.com/short-weave-styles-for-black-women/";"0.00";"0.00";"0.74";"1950000";"0.60,0.80,0.60,0.60,0.40,0.40,1.00,0.40,0.80,0.60,0.40,0.60";"1484791086"
"80s wedding hair";"73";"82";"30";"84.53";"0.00";"http://hairstylefoto.com/black-80s-hairstyles/";"0.00";"0.00";"0.00";"13700000";"0.40,0.40,0.40,0.60,0.60,1.00,0.80,1.00,0.40,0.40,0.80,0.60";"1484830939"
"asian female short hairstyles";"52";"66";"20";"81.57";"0.00";"http://hairstylefoto.com/asian-girl-short-hairstyle/";"0.00";"0.00";"0.05";"17900000";"1.00,0.67,0.67,0.33,0.67,0.67,1.00,0.67,0.67,0.67,1.00,0.33";"1484405753"
"boy haircuts with bangs";"22";"24";"40";"77.38";"0.00";"http://hairstylefoto.com/boys-haircuts-with-bangs/";"0.00";"0.00";"0.02";"2680000";"0.57,0.57,0.57,0.57,0.57,1.00,1.00,0.57,0.43,0.43,0.71,0.57";"1483058225"
"short side shaved hairstyles";"94";"0";"50";"80.99";"0.00";"http://hairstylefoto.com/short-haircut-with-shaved-side/";"0.00";"0.00";"0.10";"22300000";"0.33,0.78,0.33,0.33,1.00,0.56,0.11,0.78,0.78,0.22,0.78,0.44";"1482992689"
"haircuts oblong face";"55";"52";"20";"86.28";"0.00";"http://hairstylefoto.com/short-hairstyles-for-oblong-face/";"0.00";"0.00";"0.01";"411000";"0.33,0.33,0.67,0.67,0.33,1.00,0.33,0.33,0.67,0.33,0.67,0.33";"1484487232"
"cute easy hairstyles for medium long hair";"60";"0";"90";"77.82";"0.00";"http://hairstylefoto.com/cute-easy-hairstyles-for-school-long-hair/";"0.00";"0.00";"0.25";"1540000";"0.57,0.43,1.00,0.29,1.00,1.00,0.14,0.57,0.14,0.43,0.43,0.43";"1481941671"
"long wedge haircut photos";"67";"0";"20";"84.52";"0.08";"http://hairstylefoto.com/short-wedge-haircut/";"0.00";"0.00";"0.17";"9780000";"0.20,0.20,0.40,0.20,0.20,0.60,0.20,0.40,0.20,0.20,1.00,0.60";"1485048321"
"quick hairstyles for long thick hair";"35";"31";"70";"88.25";"0.33";"http://hairstylefoto.com/quick-and-easy-hairstyles-for-long-thick-hair/";"0.00";"0.00";"0.20";"4440000";"0.82,0.82,1.00,0.82,0.27,0.45,0.82,1.00,0.82,0.45,0.27,0.18";"1482920735"
"hairstyles put up for wedding";"93";"70";"10";"89.26";"0.00";"http://hairstylefoto.com/hairstyles-put-up-for-wedding/";"0.00";"0.00";"0.00";"2540000";"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00";"1485131357"
"hairstyles for heavier faces";"38";"49";"20";"81.53";"0.09";"http://hairstylefoto.com/short-hairstyles-for-heavier-faces/";"0.00";"0.00";"0.09";"14100000";"0.33,0.67,0.67,0.33,1.00,1.00,1.00,1.00,0.33,1.00,1.00,0.33";"1484491839"
"how to do peek a boo highlights at home";"97";"0";"90";"84.87";"0.00";"http://hairstylefoto.com/peekaboo-highlights-for-short-hair/";"0.00";"0.00";"0.10";"6960000";"1.00,0.04,0.10,0.03,0.44,0.36,0.01,0.06,0.01,0.04,0.04,0.04";"1481916455"
"short bob styles for thick hair";"20";"23";"20";"80.82";"0.00";"http://hairstylefoto.com/short-bob-hairstyles-thick-hair/";"0.00";"0.00";"0.07";"1180000";"0.67,1.00,0.67,0.67,1.00,1.00,1.00,0.33,0.33,0.67,0.67,0.33";"1484499405"
"medium length asymmetrical hairstyles";"75";"75";"50";"84.01";"0.00";"http://hairstylefoto.com/asymmetrical-hairstyles-long/";"0.00";"0.00";"0.01";"1430000";"0.18,0.82,0.18,0.09,1.00,1.00,1.00,0.82,0.09,0.09,0.09,0.09";"1483010453"
"medium length asymmetrical hairstyles";"74";"0";"50";"84.01";"0.00";"http://hairstylefoto.com/short-curly-asymmetrical-hairstyles/";"0.00";"0.00";"0.01";"1430000";"0.18,0.82,0.18,0.09,1.00,1.00,1.00,0.82,0.09,0.09,0.09,0.09";"1483010453"
"female mohawk hairstyle";"43";"0";"50";"71.60";"0.00";"http://hairstylefoto.com/black-female-mohawk-hairstyles/";"0.00";"0.00";"0.04";"759000";"1.00,0.64,0.50,0.64,0.36,0.07,0.14,0.21,0.14,0.14,0.21,0.14";"1482961581"
"ombre hair black to grey";"44";"65";"90";"88.03";"0.54";"http://hairstylefoto.com/black-and-grey-ombre-hair/";"0.00";"0.00";"0.26";"30600000";"0.36,0.79,0.79,0.64,0.64,0.50,0.64,0.50,0.64,0.64,0.79,1.00";"1482910917"
"short haircut styles for over 50";"59";"0";"20";"85.58";"0.00";"http://hairstylefoto.com/short-haircut-for-women-over-50/";"0.00";"0.00";"0.21";"12400000";"1.00,0.50,0.75,0.50,0.75,0.75,0.25,0.25,0.50,0.25,1.00,0.25";"1484412716"
"fast easy updos for medium length hair";"89";"0";"90";"90.54";"0.00";"http://hairstylefoto.com/wedding-hairstyles-for-medium-length-hair-updos/";"0.00";"0.00";"0.07";"1400000";"0.44,0.22,0.22,0.56,0.22,0.78,1.00,0.33,1.00,0.56,0.56,0.22";"1481930648"
"short sassy haircuts 2014";"20";"0";"10";"79.22";"0.00";"http://hairstylefoto.com/short-sassy-haircuts-2014/";"0.00";"0.00";"0.23";"10800000";"1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00";"1484620121"
"updo hairstyles curly hair";"54";"0";"10";"88.09";"0.00";"http://hairstylefoto.com/updo-hairstyles-for-long-curly-hair/";"0.00";"0.00";"0.00";"948000";"0.67,1.00,0.33,0.33,0.67,0.67,0.33,0.67,0.33,0.33,0.33,0.33";"1482562153"
"long hair choppy";"43";"0";"70";"84.10";"0.00";"http://hairstylefoto.com/choppy-haircuts-for-long-hair/";"0.00";"0.00";"0.03";"504000";"0.56,0.56,1.00,0.44,1.00,0.11,0.22,0.78,0.22,0.44,0.44,0.56";"1482072163"
"wavy shaggy hair";"72";"0";"40";"81.98";"0.00";"http://hairstylefoto.com/short-shaggy-hairstyles-for-thick-wavy-hair/";"0.00";"0.00";"0.04";"3540000";"0.40,0.40,0.60,1.00,0.60,0.60,0.80,0.60,0.60,0.80,0.80,0.80";"1483087328"
"layered haircuts for round faces pictures";"37";"45";"10";"86.30";"0.00";"http://hairstylefoto.com/short-layered-haircuts-for-round-faces/";"0.00";"0.00";"0.20";"9830000";"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00";"1484574732"
"hair styles for straight hair men";"99";"0";"20";"76.69";"0.00";"http://hairstylefoto.com/long-hairstyles-for-men-with-straight-hair/";"0.00";"0.00";"0.00";"14000000";"0.67,0.33,0.33,0.67,0.67,0.67,0.33,0.67,0.33,0.67,1.00,0.67";"1484501577"
"blunt cuts for long hair";"53";"39";"30";"89.43";"0.00";"http://hairstylefoto.com/blunt-cut-hairstyles-for-long-hair/";"0.00";"0.00";"0.03";"806000";"0.11,0.11,0.11,0.44,0.56,0.56,0.78,1.00,0.11,0.11,0.11,0.33";"1484745645"
"black baby with curly hair";"40";"38";"50";"83.56";"0.00";"http://hairstylefoto.com/black-babies-with-curly-hair/";"0.00";"0.00";"0.00";"3190000";"0.71,1.00,0.71,1.00,1.00,0.71,0.57,0.57,1.00,0.57,0.71,0.71";"1482958902"
"side bangs for short hair";"40";"55";"50";"82.81";"0.00";"http://hairstylefoto.com/short-bob-hairstyles-with-side-bangs/";"0.00";"0.00";"0.01";"18600000";"1.00,0.78,0.56,0.44,0.56,0.78,0.44,0.44,0.56,0.78,0.78,0.78";"1482979719"
"choppy layered hairstyles for medium length hair";"91";"0";"20";"82.32";"0.10";"http://hairstylefoto.com/choppy-layered-hairstyles-for-long-hair/";"0.00";"0.00";"0.14";"2460000";"0.67,1.00,1.00,0.33,0.67,1.00,0.67,0.33,0.33,0.33,0.33,0.67";"1485052284"
"short natural hair protective styles";"58";"56";"90";"83.07";"0.00";"http://hairstylefoto.com/protective-hairstyles-for-short-natural-hair/";"0.00";"0.00";"0.02";"10300000";"0.14,0.19,0.24,0.33,0.24,0.24,0.33,0.67,0.52,0.43,1.00,0.67";"1482888015"
"1940s braided hairstyles";"33";"0";"90";"69.74";"0.00";"http://hairstylefoto.com/1940s-black-hairstyles/";"0.00";"0.00";"0.02";"575000";"0.22,0.44,0.11,0.56,0.11,1.00,0.33,0.33,0.78,0.11,0.11,0.11";"1481977778"
"ombré hair tumblr";"65";"91";"20";"69.75";"0.00";"http://hairstylefoto.com/ombre-hair-long/";"0.00";"0.00";"0.00";"1210000";"0.67,0.67,0.67,0.67,0.67,1.00,0.67,0.67,0.33,0.33,0.33,0.33";"1484449640"
"weave hairstyles black women";"39";"0";"10";"81.01";"0.07";"http://hairstylefoto.com/long-weave-hairstyles-for-black-women/";"0.00";"0.00";"0.71";"6840000";"0.50,1.00,0.50,0.50,1.00,0.50,1.00,1.00,0.50,0.50,1.00,1.00";"1484656758"
"haircuts long in front short in back";"17";"0";"110";"79.53";"0.00";"http://hairstylefoto.com/short-haircuts-long-in-front-short-in-back/";"0.00";"0.00";"0.00";"1570000";"0.29,0.29,0.65,1.00,0.82,0.29,0.65,0.65,0.82,0.82,0.65,0.18";"1482872480"
"teenage long hairstyles for guys";"48";"23";"90";"77.53";"0.00";"http://hairstylefoto.com/cool-hairstyles-for-teenage-guys-with-long-hair/";"0.00";"0.00";"0.08";"1940000";"0.22,0.11,0.11,0.56,0.11,1.00,0.78,1.00,0.33,0.11,0.11,0.44";"1485281606"
"asian women over 50";"46";"36";"40";"74.21";"2.20";"http://hairstylefoto.com/short-hairstyles-for-asian-women-over-40/";"0.00";"0.00";"0.68";"114000000";"0.60,0.60,0.60,0.80,0.80,0.40,0.60,1.00,1.00,1.00,0.80,1.00";"1483063588"
"short dreadlocks styles for men";"63";"87";"50";"78.42";"0.00";"http://hairstylefoto.com/short-dreadlocks-hairstyles-for-men/";"0.00";"0.00";"0.05";"1400000";"0.78,0.78,0.78,0.56,1.00,0.56,0.44,0.56,0.44,0.56,0.44,0.33";"1482990975"
"shaved one side hairstyle";"44";"58";"30";"77.38";"0.00";"http://hairstylefoto.com/shaved-one-side-black-hairstyles/";"0.00";"0.00";"0.01";"540000";"0.22,0.11,0.11,0.11,0.11,0.11,0.44,0.78,0.11,0.11,0.78,1.00";"1483127282"
