Keyword;Search Volume;Keyword Difficulty Index;CPC;Url;Traffic Cost (%);Competition;Number of Results;Trends
"baby girl haircut styles";"40";"77.72";"0.00";"http://hairstylefoto.com/baby-girl-hairstyles-pictures/";"0.00";"0.01";"7010000";"0.57,0.71,0.71,1.00,0.71,0.43,0.43,0.29,0.29,0.43,0.29,0.29"
"photos of hairstyles for thin hair";"10";"83.89";"0.00";"http://hairstylefoto.com/pictures-of-short-bob-hairstyles-for-fine-hair/";"0.00";"0.27";"3170000";"0.50,0.50,0.50,0.50,1.00,0.50,1.00,0.50,0.50,0.50,0.50,0.50"
"half down prom hairstyles";"50";"87.76";"0.00";"http://hairstylefoto.com/prom-hairstyles-for-long-hair-half-up-half-down/";"0.00";"0.04";"3970000";"0.08,0.03,0.06,0.02,0.06,0.02,1.00,0.05,0.10,0.06,0.06,0.08"
"boys fohawk";"110";"70.76";"0.00";"http://hairstylefoto.com/boy-fohawk-hairstyle/";"0.00";"0.01";"218000";"0.53,0.65,0.65,0.82,0.65,1.00,0.65,0.53,0.82,0.53,0.82,0.82"
"pictures of 27 piece hairstyles";"30";"74.84";"0.89";"http://hairstylefoto.com/long-27-piece-quick-weave-hairstyles/";"0.00";"0.31";"1460000";"0.22,0.22,0.56,0.33,0.33,0.33,0.22,0.22,0.22,0.11,0.56,1.00"
"womens shaved haircuts";"260";"85.46";"2.00";"http://hairstylefoto.com/short-shaved-haircuts/";"0.00";"0.16";"1550000";"0.19,0.67,1.00,0.29,0.23,0.67,1.00,0.23,0.19,0.23,0.81,1.00"
"updo dreadlock hairstyles";"40";"82.52";"0.00";"http://hairstylefoto.com/dreadlock-hairstyles-for-black-men/";"0.00";"0.02";"605000";"0.11,0.22,0.22,0.33,0.33,0.33,0.44,0.78,1.00,1.00,0.33,0.11"
"bob haircuts for 2012";"10";"90.48";"0.00";"http://hairstylefoto.com/long-layered-bob-haircuts-2012/";"0.00";"0.10";"9840000";"0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,1.00,1.00"
"bob braids hairstyles pictures";"70";"79.84";"0.02";"http://hairstylefoto.com/pictures-of-long-braids-hairstyles/";"0.00";"0.20";"1980000";"0.41,0.18,0.65,1.00,0.82,0.53,0.41,0.29,0.18,0.24,0.18,0.41"
"pictures of long hair with long layers";"10";"85.85";"0.00";"http://hairstylefoto.com/pictures-of-long-hair-with-long-layers/";"0.00";"0.10";"2490000";"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
"hairstyles graduation";"20";"86.50";"0.00";"http://hairstylefoto.com/long-hairstyles-for-graduation/";"0.00";"0.01";"794000";"0.11,0.22,1.00,0.78,0.11,0.11,0.11,0.11,0.11,0.22,0.11,0.11"
"pentecostal hair styles";"20";"78.22";"0.00";"http://hairstylefoto.com/pentecostal-hairstyles-for-long-hair/";"0.00";"0.07";"360000";"1.00,1.00,0.67,0.67,1.00,1.00,1.00,0.67,0.33,0.33,0.67,0.67"
"cornrow hairstyles with natural hair";"90";"81.74";"0.00";"http://hairstylefoto.com/cornrow-hairstyles-for-short-natural-hair/";"0.00";"0.07";"736000";"0.44,0.78,0.11,0.56,0.11,1.00,0.33,1.00,0.33,0.56,0.56,0.78"
"long hair side hairstyles";"20";"75.76";"0.00";"http://hairstylefoto.com/prom-side-hairstyles-for-long-hair/";"0.00";"0.03";"3710000";"1.00,1.00,1.00,0.33,0.33,0.67,1.00,0.33,0.67,0.67,0.67,0.67"
"black braided hairstyles on pinterest";"10";"99.68";"0.00";"http://hairstylefoto.com/black-braided-hairstyles-on-pinterest/";"0.00";"0.00";"5230000";"0.50,0.50,0.50,0.50,0.50,0.50,1.00,1.00,1.00,0.50,0.50,0.50"
"spiral curls hairstyle";"50";"85.43";"0.19";"http://hairstylefoto.com/spiral-curls-black-hairstyles/";"0.00";"0.01";"795000";"0.45,0.64,1.00,0.82,0.36,0.27,0.18,0.36,0.18,0.27,0.36,0.64"
"the latest short black hairstyles";"20";"78.54";"0.03";"http://hairstylefoto.com/the-latest-short-black-hairstyles/";"0.00";"0.37";"2230000";"0.67,0.33,0.33,0.33,0.67,0.33,0.33,1.00,0.67,0.33,0.67,1.00"
"braids pinterest";"590";"99.68";"0.00";"http://hairstylefoto.com/black-braids-hairstyles-pinterest/";"0.00";"0.07";"1890000";"0.55,0.77,0.77,1.00,0.68,0.30,0.25,0.25,0.20,0.20,0.20,0.20"
"hairstyles for round face men";"90";"79.64";"0.00";"http://hairstylefoto.com/long-hairstyle-for-round-face-men/";"0.00";"0.00";"6110000";"0.82,0.82,0.82,0.82,0.82,0.82,0.64,0.82,0.64,0.82,1.00,1.00"
"boy blonde hair";"70";"88.39";"0.00";"http://hairstylefoto.com/blonde-hair-boy/";"0.00";"0.03";"68500000";"0.45,0.36,0.64,0.82,0.45,0.82,0.82,0.64,0.64,0.64,1.00,0.82"
"pictures of black hair weave styles";"70";"85.36";"0.25";"http://hairstylefoto.com/black-hair-weave-styles-photos/";"0.00";"0.96";"2450000";"0.78,0.78,0.78,0.56,1.00,1.00,0.78,0.78,0.78,0.56,0.78,0.78"
"pictures of short quick weaves";"20";"78.86";"0.00";"http://hairstylefoto.com/short-quick-weave-hairstyles-for-black-women/";"0.00";"0.04";"5470000";"1.00,0.67,0.67,0.67,0.67,0.67,1.00,0.67,0.33,0.33,0.67,0.67"
"pictures of short quick weaves";"20";"78.86";"0.00";"http://hairstylefoto.com/black-short-quick-weave-hairstyles/";"0.00";"0.04";"5470000";"1.00,0.67,0.67,0.67,0.67,0.67,1.00,0.67,0.33,0.33,0.67,0.67"
"short hair indian bride";"70";"74.42";"0.00";"http://hairstylefoto.com/south-indian-bridal-hairstyles-for-short-hair/";"0.00";"0.00";"4380000";"0.56,1.00,0.78,0.33,0.78,0.11,0.11,0.11,0.44,0.78,0.78,0.44"
"platinum blonde hair styles";"50";"86.64";"0.00";"http://hairstylefoto.com/long-platinum-blonde-hair/";"0.00";"0.21";"1590000";"0.71,0.57,0.57,0.71,0.57,0.71,0.57,0.57,0.43,0.57,0.71,1.00"
"put up hairstyles for long hair";"10";"84.00";"0.00";"http://hairstylefoto.com/put-up-hairstyles-for-long-hair/";"0.00";"0.42";"1590000";"0.50,1.00,1.00,1.00,0.50,0.50,1.00,1.00,0.50,0.50,0.50,0.50"
"short short natural black hairstyles";"40";"79.08";"0.00";"http://hairstylefoto.com/very-short-natural-black-hairstyles/";"0.00";"0.25";"20300000";"0.80,0.60,0.80,1.00,1.00,0.60,0.80,0.80,0.40,0.40,0.80,0.80"
"kids braided styles";"110";"79.76";"0.00";"http://hairstylefoto.com/black-kids-braids-hairstyles-for-girls/";"0.00";"0.14";"4820000";"0.41,0.65,0.53,0.82,0.82,0.82,0.53,1.00,0.82,0.82,0.65,0.41"
"soft curls on short hair";"40";"81.43";"0.00";"http://hairstylefoto.com/soft-curls-for-short-hair/";"0.00";"0.03";"2500000";"0.60,1.00,1.00,0.80,0.40,0.60,0.60,0.80,0.60,0.60,0.40,0.80"
"short messy hair cut";"90";"81.09";"0.00";"http://hairstylefoto.com/short-messy-haircuts/";"0.00";"0.03";"1280000";"0.44,1.00,1.00,0.33,1.00,0.78,0.56,0.11,0.56,0.33,0.33,1.00"
"best curly hairstyles for oval faces";"10";"80.23";"0.00";"http://hairstylefoto.com/long-curly-hairstyles-for-oval-faces/";"0.00";"0.03";"2510000";"0.33,0.33,0.33,0.33,0.33,0.67,0.33,0.67,0.33,1.00,0.33,0.33"
"hairstyles of 1950s";"20";"77.81";"0.00";"http://hairstylefoto.com/how-to-do-1950s-hairstyles-for-long-hair/";"0.00";"0.04";"572000";"0.40,1.00,0.80,0.20,0.20,0.40,0.40,0.60,0.40,0.20,0.20,0.80"
"half up half down hairstyles long hair";"30";"88.04";"0.00";"http://hairstylefoto.com/half-up-half-down-hairstyles-long-hair/";"0.00";"0.01";"5120000";"0.20,0.80,0.60,0.40,0.80,0.80,0.60,1.00,0.60,0.40,0.40,0.80"
"baby girls haircuts";"10";"86.64";"0.00";"http://hairstylefoto.com/baby-girl-haircuts/";"0.00";"0.04";"6480000";"0.50,1.00,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,1.00,1.00"
"long layered haircuts side swept bangs";"30";"82.95";"0.00";"http://hairstylefoto.com/layered-hairstyles-for-long-hair-with-side-swept-bangs/";"0.00";"0.03";"4670000";"0.75,0.50,0.50,0.75,0.75,1.00,0.25,0.75,1.00,0.50,1.00,0.75"
"curly short cuts";"110";"82.40";"0.19";"http://hairstylefoto.com/curly-short-cuts/";"0.00";"0.04";"747000";"0.53,0.82,0.65,0.65,0.53,0.65,0.65,0.82,0.82,0.53,1.00,1.00"
"black hairstyles prom";"20";"80.84";"0.13";"http://hairstylefoto.com/prom-hairstyles-for-short-black-hair/";"0.00";"0.30";"16900000";"0.33,1.00,0.78,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.22"
"short barber cuts for women";"20";"86.72";"0.10";"http://hairstylefoto.com/black-barber-cuts/";"0.00";"0.16";"744000";"0.29,0.14,0.14,0.29,0.29,0.29,1.00,0.29,0.29,0.29,0.29,0.29"
"easy hairstyles for men";"260";"81.21";"6.28";"http://hairstylefoto.com/short-easy-hairstyles-for-men/";"0.00";"0.06";"86800000";"0.81,0.81,0.81,1.00,1.00,0.81,0.66,1.00,0.81,0.81,1.00,1.00"
"short curly hairstyles black women";"50";"80.05";"0.00";"http://hairstylefoto.com/short-curly-hairstyles-on-black-women/";"0.00";"0.02";"2620000";"0.78,1.00,0.78,0.56,0.78,0.56,0.56,0.44,0.44,0.44,0.56,0.56"
"punk girls hair";"10";"90.29";"0.00";"http://hairstylefoto.com/short-punk-hair-for-girls/";"0.00";"0.00";"22700000";"0.50,0.50,0.50,1.00,1.00,0.50,0.50,0.50,0.50,0.50,1.00,0.50"
"long haircuts for round faces 2014";"10";"85.78";"0.00";"http://hairstylefoto.com/long-haircuts-for-round-faces-2014/";"0.00";"0.00";"8250000";"1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00"
"updo braids black hair";"140";"78.01";"0.00";"http://hairstylefoto.com/updo-braids-black-hair/";"0.00";"0.41";"20100000";"1.00,0.29,0.15,0.15,0.19,0.23,0.10,0.19,0.23,0.19,0.19,0.19"
"simple and easy hairstyles for long hair";"20";"86.73";"2.27";"http://hairstylefoto.com/simple-easy-hairstyles-for-long-hair/";"0.00";"0.07";"1600000";"0.75,0.75,0.50,0.25,0.25,0.75,1.00,0.75,0.25,0.25,0.25,0.25"
"photos of quick weave hairstyles";"10";"80.06";"0.00";"http://hairstylefoto.com/long-quick-weave-hairstyles-pictures/";"0.00";"0.17";"730000";"0.50,0.50,1.00,0.50,0.50,1.00,0.50,1.00,0.50,0.50,0.50,0.50"
"bob round face";"110";"86.14";"0.00";"http://hairstylefoto.com/long-bob-with-bangs-round-face/";"0.00";"0.00";"7710000";"0.64,0.79,0.79,0.79,1.00,1.00,0.79,0.64,0.64,0.79,0.64,0.64"
"short haircuts for thick hair long face";"10";"84.46";"0.00";"http://hairstylefoto.com/short-hairstyles-for-thick-hair-and-square-face/";"0.00";"0.10";"2560000";"0.33,0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.33,0.33,0.33,0.33"
"wedding updos black brides";"50";"87.81";"0.00";"http://hairstylefoto.com/wedding-updos-for-black-brides/";"0.00";"0.00";"7410000";"0.27,0.08,0.19,0.04,0.19,0.04,1.00,0.12,0.35,0.19,0.19,0.19"
"easy updos for really long hair";"20";"87.14";"0.00";"http://hairstylefoto.com/updos-for-really-long-hair/";"0.00";"0.00";"1760000";"0.67,1.00,0.67,0.33,0.67,0.67,0.67,0.67,0.33,1.00,0.67,0.67"
"mens long hairstyles pinterest";"30";"88.56";"0.00";"http://hairstylefoto.com/long-blonde-hairstyles-pinterest/";"0.00";"0.02";"4880000";"1.00,1.00,0.75,0.75,0.75,0.75,0.50,0.75,0.50,0.75,0.50,0.50"
"choppy bob hairstyles for fine hair";"70";"80.63";"0.12";"http://hairstylefoto.com/short-choppy-hairstyles-for-fine-hair/";"0.00";"0.27";"1190000";"0.78,0.56,0.33,0.44,0.44,1.00,1.00,0.78,0.44,0.78,1.00,0.78"
"v cut hairstyle for medium length hair";"50";"82.60";"0.00";"http://hairstylefoto.com/long-layered-v-cut-hairstyles/";"0.00";"0.12";"1050000";"0.78,1.00,1.00,0.33,1.00,0.11,0.22,0.11,0.56,1.00,1.00,0.44"
"black prom hair styles";"50";"77.63";"0.00";"http://hairstylefoto.com/prom-hairstyles-black-girls/";"0.00";"0.07";"3500000";"0.78,0.56,0.56,0.11,0.56,0.11,1.00,0.78,0.33,0.11,0.56,0.22"
"hair style for long hair for party";"70";"85.36";"0.00";"http://hairstylefoto.com/hairstyle-for-party-long-hair/";"0.00";"0.00";"13400000";"0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.25"
"long straight ponytail hairstyles";"20";"82.52";"0.00";"http://hairstylefoto.com/long-straight-ponytail-hairstyles/";"0.00";"0.03";"1870000";"0.75,0.75,1.00,1.00,0.25,0.25,0.50,0.50,0.50,0.25,0.25,0.25"
"hair for graduation";"260";"86.66";"0.00";"http://hairstylefoto.com/long-hairstyles-for-graduation/";"0.00";"0.10";"39400000";"0.08,0.25,1.00,0.68,0.02,0.02,0.02,0.02,0.04,0.05,0.03,0.05"
"black celebrity female";"30";"84.97";"0.00";"http://hairstylefoto.com/celebrity-black-women/";"0.00";"0.02";"0";"0.80,0.40,0.60,1.00,0.60,1.00,0.80,0.80,0.20,0.20,0.40,0.20"
"black hairstyles natural hair styles";"20";"83.53";"0.42";"http://hairstylefoto.com/black-girl-natural-hairstyles-with-short-hair/";"0.00";"0.38";"6220000";"0.67,0.33,0.33,0.33,0.67,1.00,0.67,0.33,0.33,0.33,0.33,0.33"
"back of short bob hairstyles";"20";"86.64";"0.00";"http://hairstylefoto.com/pictures-of-short-bob-haircuts-front-and-back/";"0.00";"0.19";"19000000";"1.00,0.20,0.20,0.20,0.20,0.80,0.20,0.40,0.20,0.20,0.20,0.40"
"long layered celebrity hairstyles";"10";"87.83";"0.00";"http://hairstylefoto.com/long-layered-celebrity-hairstyles/";"0.00";"0.00";"6240000";"0.50,0.50,0.50,1.00,0.50,1.00,0.50,0.50,0.50,0.50,1.00,0.50"
"hair style for boys indian";"10";"78.31";"0.00";"http://hairstylefoto.com/indian-boy-hairstyle/";"0.00";"0.09";"1920000";"0.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.40,0.80,1.00"
"shaved back haircut";"10";"81.18";"0.00";"http://hairstylefoto.com/mens-hairstyles-shaved-back-and-sides-long-on-top/";"0.00";"0.02";"7330000";"0.50,0.50,0.50,0.50,0.50,1.00,1.00,0.50,0.50,0.50,0.50,0.50"
"long hairstyles for women with thick hair";"50";"84.66";"0.10";"http://hairstylefoto.com/long-hairstyles-for-wavy-thick-hair/";"0.00";"0.15";"8210000";"0.44,0.78,0.33,1.00,0.33,0.22,0.56,0.56,0.11,0.33,0.33,0.33"
"deep ripple weave hairstyles";"40";"70.33";"0.18";"http://hairstylefoto.com/long-deep-wave-hairstyles/";"0.00";"0.99";"101000";"0.56,0.78,0.44,1.00,0.44,0.22,0.78,0.56,0.22,0.44,0.44,0.33"
"pictures of updo hairstyles for weddings";"20";"80.80";"0.00";"http://hairstylefoto.com/natural-updo-hairstyles-for-weddings/";"0.00";"0.13";"1960000";"0.50,0.25,0.25,0.50,0.50,1.00,0.50,0.75,0.25,0.25,0.25,0.25"
"wedding hairstyles for short to medium length hair";"20";"75.82";"0.25";"http://hairstylefoto.com/wedding-hairstyles-shoulder-length-hair/";"0.00";"0.12";"4510000";"1.00,1.00,0.67,0.67,0.67,0.33,0.33,0.67,0.33,0.33,0.33,0.33"
"best black hairstyles 2014";"10";"82.08";"0.00";"http://hairstylefoto.com/2014-black-weave-hairstyles/";"0.00";"0.00";"93600000";"1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00"
"quick easy updos short hair";"20";"88.05";"0.00";"http://hairstylefoto.com/quick-and-easy-updos-for-short-hair/";"0.00";"0.14";"1680000";"1.00,0.67,0.67,0.67,0.67,0.67,0.33,0.67,0.67,1.00,0.67,0.33"
"twisted hairstyles for short natural hair";"50";"80.00";"0.00";"http://hairstylefoto.com/twist-hairstyles-for-short-natural-hair/";"0.00";"0.03";"2750000";"0.06,0.06,0.06,0.12,0.24,0.41,1.00,0.53,0.18,0.12,0.18,0.53"
"hairstyles for ladies 2014";"10";"84.66";"0.00";"http://hairstylefoto.com/short-hairstyles-for-older-ladies-2014/";"0.00";"0.00";"4510000";"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
"easy hairstyles for 40 year old woman";"10";"85.61";"1.51";"http://hairstylefoto.com/long-hairstyles-for-40-year-old-woman/";"0.00";"0.13";"3930000";"0.50,1.00,0.50,0.50,1.00,0.50,0.50,1.00,0.50,1.00,0.50,0.50"
"haircut over 40";"50";"82.41";"0.00";"http://hairstylefoto.com/short-haircut-for-women-over-40/";"0.00";"0.04";"1550000";"1.00,1.00,0.80,0.80,1.00,0.80,1.00,1.00,1.00,0.80,1.00,0.80"
"short haircuts black hair 2015";"390";"80.84";"0.17";"http://hairstylefoto.com/2015-short-hairstyles-for-black-hair/";"0.00";"0.16";"9480000";"1.00,0.55,0.25,0.25,0.13,0.13,0.16,0.25,0.45,0.37,0.13,0.04"
"40 year old women hairstyles";"50";"84.15";"0.00";"http://hairstylefoto.com/short-hairstyles-for-over-40-year-old-woman/";"0.00";"0.00";"3830000";"0.57,1.00,1.00,0.43,1.00,0.29,0.14,0.71,0.14,0.43,0.43,1.00"
"short short bobs";"40";"82.94";"0.00";"http://hairstylefoto.com/short-short-bob-cuts/";"0.00";"0.07";"26600000";"0.29,0.71,1.00,0.71,0.57,0.43,0.71,0.43,0.14,0.43,0.29,0.43"
"hairdos for formal occasions";"90";"86.80";"0.00";"http://hairstylefoto.com/long-hairstyles-for-formal-occasions/";"0.00";"0.00";"814000";"0.22,0.78,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.78"
"layers for shoulder length hair";"70";"86.08";"0.00";"http://hairstylefoto.com/long-layered-shoulder-length-hair/";"0.00";"0.02";"2830000";"1.00,0.78,0.56,0.78,0.78,1.00,0.78,1.00,0.78,1.00,1.00,0.78"
"jagged bangs long hair";"70";"88.14";"0.00";"http://hairstylefoto.com/choppy-bangs-with-long-hair/";"0.00";"0.00";"513000";"0.56,0.33,0.78,0.22,0.78,1.00,0.44,0.11,0.11,0.78,0.78,0.78"
"cool haircut ideas";"40";"86.57";"0.00";"http://hairstylefoto.com/cool-hairstyle-ideas-for-long-hair/";"0.00";"0.01";"18300000";"1.00,0.80,1.00,0.60,0.60,1.00,0.60,0.80,0.80,1.00,0.80,0.80"
"cute youngboys";"50";"81.70";"0.00";"http://hairstylefoto.com/young-cute-boys/";"0.00";"0.00";"24200000";"0.44,0.44,0.56,0.11,0.56,0.11,0.33,0.33,1.00,0.56,0.56,1.00"
"sleek hairstyles";"390";"82.11";"0.00";"http://hairstylefoto.com/sleek-hairstyles-for-long-hair/";"0.00";"0.05";"1450000";"0.66,0.81,0.81,0.44,0.54,0.44,0.81,1.00,0.81,1.00,0.66,0.54"
"short short black haircuts";"30";"81.84";"0.00";"http://hairstylefoto.com/super-short-hairstyles-for-black-women/";"0.00";"0.13";"1960000";"0.71,0.57,0.71,0.71,1.00,0.43,0.14,0.29,0.14,0.14,0.43,0.29"
"hair cuts fir long hair";"50";"89.58";"0.00";"http://hairstylefoto.com/haircuts-for-long-hair-with-layers/";"0.00";"0.13";"14100000";"0.44,0.33,0.33,1.00,0.33,0.22,0.11,0.22,0.56,0.33,0.33,0.78"
"short haircut with glasses";"30";"79.68";"0.00";"http://hairstylefoto.com/short-hairstyles-for-women-over-60-with-glasses/";"0.00";"0.01";"1290000";"0.75,0.75,0.75,0.50,0.50,1.00,1.00,0.75,0.75,1.00,1.00,1.00"
"pixie cuts for black hair";"260";"84.58";"4.44";"http://hairstylefoto.com/black-hair-pixie-cut-hairstyles/";"0.00";"0.06";"5170000";"0.36,0.36,0.44,0.36,1.00,0.67,0.29,0.15,0.12,0.19,0.44,0.44"
"hairstyles from the back view";"10";"82.70";"0.24";"http://hairstylefoto.com/short-bob-hairstyles-from-the-back-view/";"0.00";"0.17";"49900000";"0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.50,1.00,0.75"
"hairstyles from the back view";"10";"82.70";"0.24";"http://hairstylefoto.com/layered-long-hairstyles-back-view/";"0.00";"0.17";"49900000";"0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.50,1.00,0.75"
"emo short haircuts";"320";"76.84";"0.00";"http://hairstylefoto.com/short-emo-girl-haircuts/";"0.00";"0.04";"889000";"0.23,0.82,1.00,1.00,1.00,1.00,0.82,0.82,0.67,0.82,0.82,0.44"
"side do prom hairstyles";"40";"95.16";"0.00";"http://hairstylefoto.com/side-prom-hairstyles-for-long-hair/";"0.00";"0.00";"13400000";"0.56,0.11,0.44,0.11,0.44,0.33,0.22,0.33,0.78,0.44,0.11,1.00"
"short haircuts with bangs for round faces";"90";"82.73";"1.05";"http://hairstylefoto.com/short-hairstyles-with-bangs-and-layers-for-round-faces/";"0.00";"0.08";"3530000";"0.50,0.36,0.64,0.79,1.00,0.50,1.00,0.64,0.79,0.50,0.64,0.79"
"cute pixie cuts for thin hair";"90";"82.03";"0.18";"http://hairstylefoto.com/pixie-short-hairstyles-for-fine-hair/";"0.00";"0.19";"3440000";"0.57,0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.43,0.71,0.71,0.71"
"tapered layered hair";"40";"82.26";"0.00";"http://hairstylefoto.com/short-layered-haircut-slightly-tapered-on-the-sides-and-back/";"0.00";"0.07";"786000";"1.00,0.33,0.78,0.22,0.78,0.22,0.44,0.44,0.11,0.78,0.78,0.78"
"cute guys age 12";"50";"87.79";"0.00";"http://hairstylefoto.com/cute-boys-age-12/";"0.00";"0.00";"19500000";"0.78,0.56,0.44,0.11,0.44,0.22,0.22,0.78,0.22,1.00,1.00,0.56"
"hairstyle for thick straight hair";"20";"84.24";"0.00";"http://hairstylefoto.com/hairstyles-for-thick-long-straight-hair/";"0.00";"0.00";"1480000";"0.75,0.50,0.50,0.25,0.50,0.75,0.50,0.75,0.25,0.75,1.00,0.50"
"boho hair styles";"90";"82.03";"0.00";"http://hairstylefoto.com/boho-hairstyles-for-long-hair/";"0.00";"0.00";"11600000";"0.82,0.65,1.00,0.65,0.53,0.53,0.53,0.53,0.29,0.29,0.53,0.53"
"updos for short hair for wedding";"170";"88.64";"3.22";"http://hairstylefoto.com/short-hair-updos-for-wedding/";"0.00";"0.17";"1880000";"0.36,0.10,0.02,0.08,1.00,0.67,0.10,0.01,0.30,0.19,0.19,0.12"
"half down hairstyles for weddings";"20";"83.00";"0.00";"http://hairstylefoto.com/half-up-half-down-hairstyles-wedding/";"0.00";"0.00";"8230000";"0.67,0.67,1.00,1.00,0.67,0.67,0.67,0.33,0.67,0.67,0.67,0.33"
"hairstyles for black kids with short hair";"110";"82.45";"0.00";"http://hairstylefoto.com/natural-hairstyles-for-black-kids-with-short-hair/";"0.00";"0.04";"3670000";"0.65,0.82,0.65,0.65,0.82,1.00,0.65,0.41,0.41,0.53,0.53,0.41"
"short asian girl hair";"10";"83.12";"0.00";"http://hairstylefoto.com/asian-girl-short-hairstyle/";"0.00";"0.00";"27900000";"0.50,0.50,1.00,0.50,0.50,0.50,0.50,1.00,0.50,1.00,0.50,1.00"
"red carpet hairstyles for short hair";"20";"86.10";"0.00";"http://hairstylefoto.com/red-carpet-hairstyles-for-short-hair/";"0.00";"0.02";"1330000";"0.67,0.67,0.67,0.33,0.33,0.33,0.67,1.00,0.33,0.67,0.67,0.67"
"short sexy bob";"30";"88.65";"0.00";"http://hairstylefoto.com/sexy-short-bob-hairstyles/";"0.00";"0.00";"38700000";"0.80,0.40,0.60,0.60,0.80,1.00,0.60,0.60,0.60,0.40,0.80,0.60"
"short hair wavy hairstyles";"10";"84.40";"0.00";"http://hairstylefoto.com/wavy-hairstyle-for-short-hair/";"0.00";"0.04";"27900000";"1.00,0.50,1.00,1.00,0.50,1.00,0.50,0.50,0.50,0.50,0.50,1.00"
"how to do pentecostal hairstyles";"70";"90.54";"0.06";"http://hairstylefoto.com/pentecostal-hairstyles-for-long-hair/";"0.00";"0.21";"4930000";"0.33,0.33,0.11,0.44,0.11,1.00,0.78,0.22,0.78,0.44,0.44,0.33"
"baby haircut style";"70";"81.20";"2.67";"http://hairstylefoto.com/baby-boy-haircut-styles/";"0.00";"0.26";"20700000";"0.24,0.67,1.00,0.67,0.33,0.05,0.14,0.19,0.24,0.10,0.14,0.24"
"hairstyles for 60 year old woman";"720";"83.27";"0.32";"http://hairstylefoto.com/long-hairstyles-for-60-year-old-woman/";"0.00";"0.21";"0";"0.82,0.67,0.67,0.82,0.67,0.82,0.55,0.82,0.67,0.82,1.00,0.82"
"inverted medium length bob";"10";"80.41";"0.00";"http://hairstylefoto.com/short-layered-inverted-bob-hairstyles/";"0.00";"0.01";"1240000";"0.67,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.67,0.67,1.00"
"braids styles for african american";"20";"81.74";"0.00";"http://hairstylefoto.com/african-american-hair-braiding-styles-black-hairstyles/";"0.00";"0.07";"716000";"0.40,0.40,0.40,0.40,0.20,1.00,0.20,0.60,0.80,0.20,0.20,0.20"
"elegant hairdos for long hair";"40";"85.07";"0.00";"http://hairstylefoto.com/elegant-hairstyles-for-long-hair-wedding/";"0.00";"0.12";"1420000";"0.60,1.00,1.00,1.00,1.00,1.00,0.80,0.40,0.60,0.40,0.40,0.60"
"cute boys with dreads";"390";"74.54";"0.00";"http://hairstylefoto.com/black-man-dreads-hairstyles/";"0.00";"0.07";"622000";"0.16,0.82,0.16,0.36,0.16,0.30,1.00,1.00,0.44,0.30,0.30,0.19"
"natural short black curly hairstyles";"40";"73.83";"0.83";"http://hairstylefoto.com/natural-short-curly-hairstyles-for-black-women/";"0.00";"0.17";"3790000";"1.00,0.33,0.78,0.22,0.78,0.22,0.44,0.44,0.11,0.78,0.78,0.78"
"african american faux hawk hairstyle";"30";"80.71";"0.00";"http://hairstylefoto.com/black-faux-hawk-hairstyles/";"0.00";"0.01";"4420000";"0.50,0.75,0.25,0.25,0.50,0.75,1.00,0.75,0.50,1.00,0.50,0.50"
"haircuts for long noses";"30";"68.91";"0.20";"http://hairstylefoto.com/hairstyles-for-long-faces-and-big-noses/";"0.00";"0.03";"4780000";"1.00,0.75,0.75,0.75,1.00,1.00,0.50,0.50,0.50,0.75,0.75,0.75"
"cute short haircuts tumblr";"140";"74.87";"0.00";"http://hairstylefoto.com/tumblr-hairstyles-for-short-hair/";"0.00";"0.12";"1910000";"0.67,0.67,0.67,0.67,0.67,0.52,0.43,0.43,0.81,1.00,0.67,0.33"
"quick easy hairstyles for african american hair";"20";"82.01";"0.00";"http://hairstylefoto.com/quick-hairstyles-for-short-natural-african-american-hair/";"0.00";"0.01";"1230000";"0.50,0.50,1.00,0.75,0.75,0.75,0.50,0.75,0.50,0.50,0.25,0.50"
"pics of short haircuts with bangs";"30";"81.65";"0.00";"http://hairstylefoto.com/short-haircuts-bangs/";"0.00";"0.13";"3610000";"0.43,0.71,0.57,1.00,0.14,0.43,0.43,0.57,0.57,0.14,0.14,0.14"
